Article Count,Article ID,Publication Date,Title,Keywords,Abstract
1,37948141,2023-11-10,HT-RCM: Hashimoto's Thyroiditis Ultrasound Image Classification Model based on Res-FCT and Res-CAM.,N/A,"The early lesions of Hashimoto's thyroiditis are inconspicuous, and the ultrasonic features of these early lesions are indistinguishable from other thyroid diseases. This paper proposes a Hashimoto Thyroiditis ultrasound image classification model HT-RCM which consists of a Residual Full Convolution Transformer (Res-FCT) model and a Residual Channel Attention Module (Res-CAM). To collect the low-order information caused by hypoechoic signals accurately, the residual connection is injected between FCTs to form Res-FCT which helps HT-RCM superimpose the low-order input information and high-order output information together. Res-FCT can make HT-RCM focus more on hypoechoic information while avoiding gradient dispersion. The initial feature map is inserted into Res-FCT again through a down-sampling component, which further helps HT-RCM exact multi-level original semantic information in the ultrasound image. Res-CAM is constructed by implementing a residual connection between a channel attention module and a convolution layer. Res-CAM can effectively increase the weights of the lesion channels while suppressing the weights of the noise channels, which makes HT-RCM focus more on the lesion regions. The experimental results on our collected dataset show that HT-RCM outperforms the mainstream models and obtains state-of-the-art performance in HT ultrasound image classification."
2,37937055,2023-11-08,Radiomics-based ultrasound models for thyroid nodule differentiation in Hashimoto's thyroiditis.,"Hashimoto’s thyroiditis"", ""diagnosis"", ""radiomics"", ""thyroid nodules"", ""ultrasound","Previous models for differentiating benign and malignant thyroid nodules(TN) have predominantly focused on the characteristics of the nodules themselves, without considering the specific features of the thyroid gland(TG) in patients with Hashimoto's thyroiditis(HT). In this study, we analyzed the clinical and ultrasound radiomics(USR) features of TN in patients with HT and constructed a model for differentiating benign and malignant nodules specifically in this population.
We retrospectively collected clinical and ultrasound data from 227 patients with TN and concomitant HT(161 for training, 66 for testing). Two experienced sonographers delineated the TG and TN regions, and USR features were extracted using Python. Lasso regression and logistic analysis were employed to select relevant USR features and clinical data to construct the model for differentiating benign and malignant TN. The performance of the model was evaluated using area under the curve(AUC), calibration curves, and decision curve analysis(DCA).
A total of 1,162 USR features were extracted from TN and the TG in the 227 patients with HT. Lasso regression identified 14 features, which were used to construct the TN score, TG score, and TN+TG score. Univariate analysis identified six clinical predictors: TI-RADS, echoic type, aspect ratio, boundary, calcification, and thyroid function. Multivariable analysis revealed that incorporating USR scores improved the performance of the model for differentiating benign and malignant TN in patients with HT. Specifically, the TN+TG score resulted in the highest increase in AUC(from 0.83 to 0.94) in the clinical prediction model. Calibration curves and DCA demonstrated higher accuracy and net benefit for the TN+TG+clinical model.
USR features of both the TG and TN can be utilized for differentiating benign and malignant TN in patients with HT. These findings highlight the importance of considering the entire TG in the evaluation of TN in HT patients, providing valuable insights for clinical decision-making in this population."
3,37929726,2023-11-06,Network Pharmacology Studies on the Molecular Mechanism of Hashimoto's Thyroiditis Treated with Shutiao Qiji Decoction.,Shutiao Qiji Decoction; Hashimoto Thyroiditis; Network Pharmacology; Molecular Docking;Pathological section,"In recent years, the number of patients with Hashimoto's thyroiditis has been increasing, and traditional Chinese medicine ingredients and combinations have been applied to treat Hashimoto's thyroiditis to increase efficacy and reduce side effects during the treatment process.
Shutiao Qiji Decoction is one of the Chinese traditional medicine prescriptions, which is commonly used to treat cancer, tumor, etc. It is also used for thyroid-related diseases in the clinic. Hashimoto's thyroiditis is an autoimmune disease. In this study, the mechanism of Shutiao Qiji Decoction in treating Hashimoto's thyroiditis was studied through network pharmacology and molecular docking verification.
Each Chinese medicine ingredient of Shutiao Qiji Decoction was retrieved from the Traditional Chinese Medicine Systems Pharmacology (TCMSP) database. The related genes of HT were searched from the UniProt and GeneCards databases. Meanwhile, we used Cytoscape to construct the protein-protein interaction (PPI) visual network analysis, and used the search tool to search the database of Interacting Genes (STRING) to build a PPI network. These key proteins were enriched and analyzed by molecular docking validation, Gene Ontology (GO), and the Kyoto Encyclopedia of Genes and Genomes (KEGG). Hashimoto's thyroiditis disease model was established in SD rats, and SQD was administered by gavage after the successful establishment of the model. After 6 weeks of continuous administration of the drug by gavage, tissue samples were collected and the thyroid and spleen tissues were visualized by HE staining to verify the therapeutic effect.
The results showed that there were 287 TCM active ingredients, 1920 HT-related disease targets, and 176 drug and disease targets in SQD. Through PPI analysis, GP analysis, and KEGG analysis of the common targets of drugs and diseases, we found their pathways of action to be mainly cancer action pathway, PI3K-AKT signaling pathway, and T-cell action pathway. The active ingredients of the drugs in SQD, malvidin, stigmasterol, porin-5-en-3bta-ol, and chrysanthemum stigmasterol, were docked with the related target proteins, MAPK, GSK3β, TSHR, and NOTCH molecules. The best binding energies obtained from docking were mairin with TSHR, stigmasterol with TSHR, poriferast-5-en-3beta-ol with MAPK, and chryseriol with GSK3β, with binding energies of -6.84 kcal/mol, -6.53 kcal/mol, -5.03 kcal/mol, and -5.05 kcal/mol, respectively. HE staining sections of rat thyroid and spleen tissues showed that SQD had a therapeutic effect on Hashimoto's thyroiditis and restored its immune function.
It is verified by molecular docking results that Shutiao Qiji Decoction has a potential therapeutic effect on Hashimoto's thyroiditis in the MAPK/TSHR/NOTCH signal pathway, and that the main components, mairin, stigmasterol, poriferast-5-en-3beta-ol, and chryseriol play a role in it. SQD has been shown to have a good therapeutic effect on Hashimoto's thyroiditis."
4,37908882,2023-11-01,CO-EXISTING HASHIMOTO'S THYROIDITIS DOES NOT AFFECT BONE METABOLISM IN PATIENTS WITH PRIMARY HYPERPARATHYROIDISM.,"Bone metabolism"", ""Hashimoto’s thyroiditis"", ""Interleukin-17A"", ""Primary hyperparathyroidism"", ""RANKL","Primary hyperparathyroidism (PHPT) is often associated with thyroid disorders like nodular goiter, Hashimoto's thyroiditis (HT) and Graves' disease.
Our aim was to explore whether the co-existence with HT affects bone metabolism in patients with PHPT.
This was a comparative cross-sectional study carried out in a tertiary inpatient endocrine center from January 2018 through December 2020.
A total of 234 patients were diagnosed with PHPT at our endocrine center. One hundred of them were included in the study - 50 with PHPT only and 50 with PHPT and HT. Two control groups were defined: 37 with HT and 37 without PHPT and HT. Serum markers of calcium-phosphate metabolism, bone markers (RANKL, Osteoprotegerin, β-CTX, Osteocalcin) and interleukin-17A were measured.
The frequency of HT among patients with PHPT was 37.6% (95% CI 31-43%) and did not differ significantly from that in the general population, 32.5% (95% CI 30-35%). Age, BMI, markers of calcium-phosphate metabolism, bone markers and interleukin-17A weren't significantly different in PHPT with and without HT or between the two control groups. The participants with PHPT had higher levels of interleukin-17A, β-CTX and Osteocalcin (p<0.05) than those without the PHPT. RANKL and Osteoprotegerin in these groups did not differ.Interleukin-17A correlated positively with serum calcium, PTH and RANKL and negatively with serum inorganic phosphate and 25(OH)D. Controlling for HT and age did not change the correlation.
In our study, HT has not additional effect on bone metabolism in the patients with PHPT. Higher levels of interleukin-17A in PHPT suggest a possible role in the PTH-induced bone remodeling."
5,37900529,2023-10-30,Cerebellar Ataxia in the Setting of Hashimoto's Thyroiditis: A Case Report Update and Review.,"anti-thyroid peroxidase antibodies"", ""autoimmune cerebellar ataxia"", ""cerebellar-ataxia"", ""hashimoto’s encephalopathy"", ""hashimoto’s thyroiditis"", ""thyroid peroxidase antibody","Hashimoto's encephalopathy (HE) is a rare diagnosis. Establishing the diagnosis itself is quite challenging, as symptoms vary among cases and there is still no standard confirmatory test. The clinical presentation is heterogeneous; however, patients with HE most commonly experience focal neurological deficits, frequently accompanied by cognitive dysfunction, aphasia, or paresis. The most widely recommended initial treatment for cases of HE is a course of corticosteroids. Nonetheless, their response varies from patient to patient, and some may become resistant to them. There are many proposed second-line treatments; however, there is little data and no consensus on the best alternative treatment when steroid therapy fails. This article provides an update on a case of cerebellar ataxia in a 30-year-old female patient with Hashimoto's thyroiditis. She initially presented with rapid-onset progressive symptoms of cerebellar ataxia (movement incoordination, dysmetria, and balance problems) and had elevated serum anti-thyroid peroxidase antibodies. She was diagnosed with HE and was initially treated with methylprednisolone. However, her symptoms recurred after tapering steroid therapy, and eventually, they ceased to manage her symptoms, plus she developed steroid-induced osteoporosis. She began treatment with intravenous immunoglobulin (IVIG) as an alternative in April 2022. Since then, she has had four infusions of IVIG that have allowed her to remain symptom-free."
6,37891878,2023-10-28,"Do Dietary Supplements Affect Inflammation, Oxidative Stress, and Antioxidant Status in Adults with Hypothyroidism or Hashimoto's Disease?-A Systematic Review of Controlled Trials.","Hashimoto’s disease"", ""antioxidant status"", ""dietary supplements"", ""hypothyroidism"", ""inflammation"", ""oxidative stress","This systematic review aims to summarise the results of controlled trials on dietary supplements (DS) usage and inflammation, oxidative stress, antioxidant status, and thyroid parameter improvement in hypothyroidism (HT)/Hashimoto's thyroiditis (AIT) patients. The study protocol was registered with PROSPERO (no. CRD42022365149). A comprehensive search of the PubMed, Scopus, and Web of Science databases resulted in the identification of nineteen randomised controlled trials and three non-randomised studies for the review; three studies examined the effect of supplementation with vitamin D, twelve studies-with selenium, and seven studies-with other DS. Based on very limited evidence, the lack of influence of vitamin D supplementation on inflammatory parameters was found, while no studies have examined oxidative stress and antioxidant status parameters, and only one provided results for a single thyroid parameter after an intervention. Some evidence was found proving that selenium supplementation may decrease inflammation and improve thyroid parameters, but reaching a conclusion about its influence on oxidative stress and antioxidant status is not possible because of the insufficient number of studies. Additionally, due to examining other DS (e.g., multicomponent, "
7,37869111,2023-10-23,Concurrent Medullary Carcinoma and Hashimoto's Thyroiditis: A Case Report with an Emphasis on US Features.,"Hashimoto’s Thyroiditis"", ""Medullary Thyroid Carcinoma"", ""Ultrasonography","Medullary thyroid carcinoma (MTC) is a rare malignancy that originates from the parafollicular cells of the thyroid gland. Hashimoto's thyroiditis (HT) is an autoimmune thyroid disease and is the most common cause of hypothyroidism. Previous studies have frequently discussed the association among HT, papillary thyroid carcinoma, and thyroid lymphoma. However, there have been few reports on the ultrasonographic findings of concomitant HT and MTC. In the present case, a heterogeneous hypoechoic background parenchymal echogenicity, with intraglandular echogenic strands, and increased vascularity were observed. A concurrent, ill-defined, parallel-oriented, heterogeneous hypoechoic mass with central microcalcifications was located at the left thyroid gland, consistent with reported US findings of medullary thyroid carcinoma except for an ill-defined margin in our case.
갑상선 수질암은 갑상선의 소포곁세포에서 기원하는 드문 악성 종양이다. 하시모토 갑상선염은 자가면역성 갑상선 질환의 일종으로, 갑상선 기능 저하증의 가장 흔한 원인이다. 하시모토 갑상선염과 갑상선 유두암 및 갑상선 림프종 사이의 연관성은 이전 연구에서 자주 논의되었다. 하지만 하시모토 갑상선염과 동반된 갑상선 수질암의 초음파 소견에 대한 보고는 거의 없었다. 증례에서 갑상선 실질은 미만성의 비균질 저에코 소견 및 내부에 에코발생 가닥이 관찰되었으며, 색 도플러 영상에서 증가된 혈관분포를 보였다. 이와 동시에 불분명한 경계의 평행한 방향성의 저에코성 종괴가 좌측 갑상선의 중간에서 하부 극에 관찰되었으며, 내부에는 중심 미세석회화를 보였고, 이는 불분명한 경계를 보인다는것을 제외하면 이전의 보고된 갑상선 수질암의 초음파 소견과 같았다."
8,37869091,2023-10-23,Coexistence of primary thyroid diffuse large B cell lymphoma and papillary thyroid carcinoma in a patient with Hashimoto's thyroiditis: a case report and literature review.,"case report"", ""coexistence"", ""diffuse large B-cell lymphoma"", ""papillary thyroid carcinoma"", ""primary thyroid lymphoma","Papillary thyroid carcinoma (PTC) is the most common pathological type of thyroid malignancy and also has an excellent prognosis. Primary thyroid lymphoma (PTL) is rare and has a poor prognosis. The co-occurrence of both malignancies is extremely rare, and the preoperative diagnosis is rather difficult. We report the case of a patient with both PTC and PTL in the setting of Hashimoto's thyroiditis (HT). A 59-year-old female patient was referred to our department for progressive enlargement of the thyroid gland over a few months. The imaging results demonstrated an enlarged thyroid and a mass in the thyroid. Total thyroidectomy and bilateral central neck node dissection were conducted. The final diagnosis of the coexistence of thyroid diffuse large B cell lymphoma and PTC was confirmed by histopathology and immunohistochemistry. The patient received radiation therapy and six cycles of chemotherapy combined with targeted therapy, including rituximab, cyclophosphamide, doxorubicin, vindesine, and prednisone (R-CHOP). After 6 months of follow-up, neither tumor has recurred. It is important for physicians to keep PTL in mind for differential diagnosis in HT patients with sudden thyroid enlargement."
9,37861476,2023-10-20,Hashimoto's thyroiditis-related myopathy in a patient with SARS-CoV-2 infection: A case report and systematic literature review.,N/A,"Hashimoto's thyroiditis (HT) is a common autoimmune disease. However, its presentation and management in the context of COVID-19 are unclear, and COVID-19-triggered HT, along with myopathy and persistent creatine kinase (CK) levels, have not been previously reported. Moreover, no literature review is currently available on HT in the context of COVID-19. This study is a case report and systematic review of the literature.
A 33-year-old man was admitted with acute-onset myalgia, anosmia, loss of taste, fever, and upper respiratory tract symptoms.
He was diagnosed with coronavirus disease (COVID-19) during hospitalization and had abnormal CK levels. The elevated CK level persisted even after the resolution of COVID-19. After excluding myopathies and cardiac factors, HT was diagnosed.
CK levels did not decrease appreciably until 14 d after levothyroxine administration.
The patient was discharged from the hospital in good health. In the systematic literature review, 7 case reports on COVID-19-associated HT were observed, although no incidence of associated myopathy or persistent elevation of CK was noted.
This case report highlights the potential link between COVID-19 and autoimmune thyroid diseases. In particular, this study underscores the significance of recognizing new-onset autoimmune thyroid disease in COVID-19-positive patients with elevated CK levels that cannot be attributed to other factors. This systematic review offers additional perspectives for diagnosing and managing HT in COVID-19 settings. Overall, the findings of this study could have important clinical implications for the care of COVID-19 patients, as early identification and treatment of autoimmune thyroid disease could help prevent long-term complications. Additional research is essential to elucidate the fundamental correlations between COVID-19 and HT and assess the effectiveness of therapeutic approaches for autoimmune thyroid conditions related to COVID-19."
10,37860538,2023-10-20,Experimental study on changes in metabolic mechanism of papillary thyroid carcinoma complicated with Hashimoto's thyroiditis.,"Biomarkers"", ""Hashimoto's thyroiditis (HT)"", ""Metabolism pathway"", ""Metabolomic"", ""Papillary thyroid cancer (PTC)","Whether the mechanism of thyroid papillary carcinoma (PTC) is the same in patients with a Hashimoto's thyroiditis (HT) background as compared with patients with a normal background remains a highly debated and controversial issue. In this study, we aimed to analyze the differences and similarities of the metabolic mechanism of PTC in normal and HT background, and to explore the relationship between HT and PTC.
The ultra performance liquid chromatography-quadrupole-time of flight-mass spectrometry (UPLC-Q-TOF/MS) technology was used to analyze 61 PTC patient tissues (31 HT background and 30 normal tissue (NC) background). Potential biomarkers were screened from principal component analysis (PCA) to orthogonal partial least square (OPLS) discriminant analysis. HMDB was searched to identify potential differential metabolites and final metabolic pathway analysis was performed by MetaboAnalyst 5.0. We analyzed the differential metabolites diagnostic accuracy through receiver operating characteristic (ROC) curves analysis.
Seven different metabolites were screened from HT group and NC group, including arginine, glutamic acid, cysteine, citric acid, malic acid, uracil and taurine. Logistic regression model combined with ROC analysis of these 7 biomarkers had good discriminability for PTC (area under operating characteristic curve of HT group and NC group were 0.867 and 0.973, respectively). The HT group had specific metabolic pathways, including aminoacyl-tRNA biosynthesis, glycine, serine and threonine metabolism.
The metabolic profiles of the NC and HT groups had important similarities and differences in PTC. The correlation of PTC with HT may be related to aminoacyl-tRNA biosynthesis, serine and threonine metabolism."
