Article Count,Article ID,Publication Date,Title,Keywords,Abstract
1,37942740,2023-11-09,Subclinical hypothyroidism in pregnancy - assessment of offspring thyroid status and mitochondrial robustness to stress.,"Mitochondria"", ""flow cytometry"", ""infant"", ""newborn"", ""pregnancy"", ""reference levels"", ""subclinical hypothyroidism"", ""thyroid diseases"", ""thyrotropin","Subclinical hypothyroidism's clinical implications on pregnancy are controversial. Consequently, thyrotropin (TSH) cutoff-values for pregnancy are continuously a subject for debate. In subclinical hypothyroidism, altered levels of thyroid hormones may affect mitochondrial function.Objectives were i) to analyze thyroid hormone levels in offspring of women with and without subclinical hypothyroidism ii) to analyze mitochondrial ""robustness"" in terms of MTG/TMRM ratio in pregnant women and their offspring in relation to thyroid function and iii) to perform differentiate analyses on different TSH thresholds to determine the importance of cutoff-values to results.Pregnant women were included by blood collections prior to a planned cesarean section, and cord samples were collected after delivery. Thyroid status (analyzed by Siemens Healthcare Diagnostics by an electrochemical luminescent immunoassay based on LOCI-technology) grouped the women and their offspring in euthyroid or subclinical hypothyroid, with groups established from previous recommended third-trimester cutoff-value (TSH > 3.0 mIU/L) and the recently recommended cutoff-value in Denmark (TSH > 3.7 mIU/L). Flow cytometric measurements of mitochondrial function in mononuclear blood cells with the fluorophores TetraMethylRhodamine Methyl Ester (TMRM) and Mitotracker Green (MTG) were used to evaluate mitochondrial robustness as the MTG/TMRM ratio.No significant differences in mitochondrial robustness between euthyroid and subclinical hypothyroid cohorts were observed, irrespective of TSH-cutoff applied. Maternal and cord MTG/TMRM ratios were positively correlated. Cord-TSH was elevated in subclinical hypothyroid offspring, independent of TSH cutoff applied. Cord-TSH was associated with maternal TSH-level, maternal smoking and cord arterial-pH."
2,37935517,2023-11-08,"Associations between hypothyroidism and adverse obstetric and neonatal outcomes: a study of a population database including over 184,000 women with hypothyroidism.","Population database"", ""delivery"", ""hypothyroidism"", ""neonatal"", ""obstetric"", ""pregnancy outcome","Maternal hypothyroidism has been associated with multiple adverse pregnancy outcomes. These findings have not been confirmed in a large population database study. Therefore, a large population-based cohort study was established to study the associations between maternal hypothyroidism and pregnancy and perinatal complications.
This is a retrospective population-based cohort study utilizing data from the Healthcare Cost and Utilization Project-Nationwide Inpatient Sample (HCUP-NIS) over 11 years from 2004 to 2014. A cohort of all deliveries between 2004 and 2014 inclusive, was created. Within this group, all deliveries to women with hypothyroidism were identified as part of the study group (
Maternal hypothyroidism is associated with several pregnancy and perinatal complications, including gestational diabetes mellitus (aOR 1.43, 95%CI 1.38-1.47), gestational hypertension (aOR 1.17, 95%CI 1.11-1.22) and preeclampsia (aOR 1.21, 95%CI 1.16-1.27) (all 
Women with hypothyroidism are more likely to experience pregnancy, delivery and neonatal complications. We found an association between hypothyroidism and hypertensive disorders, postpartum hemorrhage, transfusions, infections, preterm delivery and hysterectomy, among other problems. This data from a population sized database confirms the findings of smaller previous studies in the literature."
3,37932394,2023-11-07,Using machine learning algorithm to analyse the hypothyroidism complications caused by radiotherapy in patients with head and neck cancer.,N/A,"Machine learning algorithms were used to analyze the odds and predictors of complications of thyroid damage after radiation therapy in patients with head and neck cancer. This study used decision tree (DT), random forest (RF), and support vector machine (SVM) algorithms to evaluate predictors for the data of 137 head and neck cancer patients. Candidate factors included gender, age, thyroid volume, minimum dose, average dose, maximum dose, number of treatments, and relative volume of the organ receiving X dose (X: 10, 20, 30, 40, 50, 60 Gy). The algorithm was optimized according to these factors and tenfold cross-validation to analyze the state of thyroid damage and select the predictors of thyroid dysfunction. The importance of the predictors identified by the three machine learning algorithms was ranked: the top five predictors were age, thyroid volume, average dose, V50 and V60. Of these, age and volume were negatively correlated with thyroid damage, indicating that the greater the age and thyroid volume, the lower the risk of thyroid damage; the average dose, V50 and V60 were positively correlated with thyroid damage, indicating that the larger the average dose, V50 and V60, the higher the risk of thyroid damage. The RF algorithm was most accurate in predicting the probability of thyroid damage among the three algorithms optimized using the above factors. The Area under the receiver operating characteristic curve (AUC) was 0.827 and the accuracy (ACC) was 0.824. This study found that five predictors (age, thyroid volume, mean dose, V50 and V60) are important factors affecting the chance that patients with head and neck cancer who received radiation therapy will develop hypothyroidism. Using these factors as the prediction basis of the algorithm and using RF to predict the occurrence of hypothyroidism had the highest ACC, which was 82.4%. This algorithm is quite helpful in predicting the probability of radiotherapy complications. It also provides references for assisting medical decision-making in the future."
4,37931916,2023-11-07,The Presence of Anti-TPO Antibodies Increase the Likelihood of Post-I131 Hypothyroidism.,N/A,"The use of radioactive iodine in the treatment of hyperthyroidism is common practice. However, a standardized treatment protocol with regard to radioactive iodine treatment (RAI) remains subject to discussion. We retrospectively analyzed 100 patient records. Patient diagnosis, age, gender, body mass index (BMI), dose of radioactive iodine, thyroid size, the 24h radioiodine uptake (24h RAIU) and protein bound iodine (PBI) were deducted, as well as the use of antithyroid drugs prior to RAI. Biochemical parameters were obtained, such as TSH, fT4, fT3, Anti-TPO, Anti-TG antibodies and thyroid stimulating antibodies. After 5 years of follow-up, 46% of the patients proved to be hypothyroid, whereas 8% of the patients were not cured after one dose of RAI. One year after RAI, a larger proportion of patients with a toxic nodule developed hypothyroidism compared to patients with a multinodular goitre (MNG) (44.2% vs. 21.2%). Radioactive iodine dose, PBI, RAIU, BMI, size of the thyroid gland, diagnosis, age and TPO-antibodies showed statistically significant differences in the development of hypothyroidism. Furthermore, thiamazole pretherapy was shown to be a predictor of hypothyroidism, as well as a high PBI value, exhibiting a positive predictive value of 85.2% when the PBI exceeded 0.16. We suggest a standardized measurement of TPO-Ab's to further determine their role in the development of hypothyroidism after RAI. The empirical dosing regimen was very effective, illustrating a 92% cure rate after 1 dose. We suggest a lowering of therapeutic dosage in patients with PBI values ranging from 0.17 to 0.39 to minimize hypothyroidism after RAI."
5,37927364,2023-11-06,Levothyroxine liquid oral substitution as an alternative treatment for refractory hypothyroidism due to gastrointestinal malabsorption: A case report.,"Refractory hypothyroidism"", ""levothyroxine"", ""levothyroxine absorption test"", ""malabsorption","Tablets of levothyroxine (LT4) are the most used form for the treatment of hypothyroidism. Some patients may present with refractory hypothyroidism despite a high daily LT4 dose. We report the case of a 49-year-old woman who was admitted to our department for refractory hypothyroidism. She was treated with 300 μg oral LT4 tablets daily (3.9 μg/kg/day). Despite good compliance and regular intake of high doses of LT4, she had persistent symptoms of hypothyroidism and a thyroid-stimulating hormone level of 92.4 mIU/L. LT4 absorption test was consistent with the diagnosis of malabsorption. Etiological investigations revealed Helicobacter pylori gastritis. Helicobacter infection was adequately treated, but symptoms of hypothyroidism and elevated thyroid-stimulating hormone persisted. Increased LT4 doses (400 μg) failed to normalize thyroid-stimulating hormone levels. Thus, she was put on LT4 liquid form at a dose of 80 drops/day per day (400 µg). Two weeks later, she presented with clinical and biological improvement with a normal free thyroxine level of 1.14 ng/dL. Patients with gastrointestinal disorders may present with refractory hypothyroidism despite increasing doses of LT4. Switching to liquid formulation may resolve this problem."
6,37926822,2023-11-06,Atypical presentations of primary acquired hypothyroidism - a case series.,"Growth"", ""Hypothyroidism"", ""Puberty"", ""Thyroid","Primary acquired hypothyroidism in children manifests with a myriad of clinical presentations. Clinical features can be insidious in nature, often under the guise of non-specific presentations to other subspecialties prior to referral to the endocrinologist. Growth failure is a hallmark feature in these children alongside their presenting clinical symptomology which needs to be identified through detailed history, physical examination and analysis of the growth charts. In this case series, we discuss 5 atypical presentations of acquired primary hypothyroidism with multisystemic involvement, including musculoskeletal, hepatobiliary, gynaecological and haematological manifestations. This is of importance as untreated hypothyroidism leads to fatigue, decreased physical activity, suboptimal height gain, disordered puberty and poor neurocognitive development in children with long term detrimental outcomes."
7,37921423,2023-11-03,Levothyroxine initiation and the risk of pregnancy loss among pregnant women with subclinical hypothyroidism: An observational study emulating a target trial.,"levothyroxine"", ""pregnancy loss"", ""subclinical hypothyroidism"", ""target trial","While the benefits of levothyroxine are well-established for overt hypothyroidism, they are unclear for subclinical hypothyroidism (SCH) among pregnant women.
To estimate the effect of initiation of levothyroxine on pregnancy loss among women with SCH with an emulated target trial using observational data.
We emulated a target trial using the United Kingdom's Clinical Practice Research Datalink to account for the staggered timing of diagnosis and treatment of SCH and the time of entry of women into prenatal care. We emulated multiple nested trials (at each gestational week) and used an intention-to-treat approach to define levothyroxine use (≥1 prescription in the 7 days prior to trial entry), with eligible users matched to non-users (1:4) on time of diagnosis, gestational week of the first eligible trial and high-dimensional propensity score. Pregnancy losses included spontaneous abortion and stillbirth. A pooled logistic regression model with bootstrap resampling was used to estimate the hazard ratios (HR) and 95% confidence intervals (CI).
Based on 159,177 eligible person-trials (5781 women), the matched cohort included 181 initiators and 640 non-initiators of levothyroxine, with 57 pregnancy losses occurring during follow-up. Overall, the mean age of women was 32.2 years (SD 5.4), 25% were obese, 8% had type 2 diabetes and about 50% were nulliparous. After matching, women who initiated levothyroxine versus not had higher thyroid-stimulating levels during pregnancy and were more likely to have a history of hypothyroidism. The cumulative incidence of pregnancy loss was lower in initiators versus non-initiators of levothyroxine. The adjusted HR for pregnancy loss was 0.87 (95% CI 0.22, 1.56).
Although our assessment of the effect of initiation of levothyroxine for SCH in pregnancy precludes any definitive conclusions due to wide confidence intervals, this study illustrates the feasibility of using the target trial emulation framework to examine the effectiveness of medication use in pregnancy."
8,37920820,2023-11-03,Prevalence and Factors Associated with Subclinical Hypothyroidism in Major Depressive Disorder Patients with Dyslipidemia.,"dyslipidemia"", ""major depressive disorder"", ""prevalence"", ""subclinical hypothyroidism","Major depressive disorder (MDD) is a common psychiatric disorder with a high prevalence of comorbidity with subclinical hypothyroidism. The aim of this study was to investigate the prevalence and factors influencing the comorbidity of subclinical hypothyroidism in patients with dyslipidemic MDD who were hospitalized for the first time in a Chinese population.
The study incorporated 708 first-time hospitalized MDD patients, all with dyslipidemia. Data collection encompassed socio-demographic information, blood pressure, fasting blood glucose (FBG), lipid, and thyroid hormone levels. Participants were evaluated using the Hamilton Depression Scale (HAMD), Hamilton Anxiety Scale (HAMA), and Positive Symptom Subscale (PSS).
The prevalence of subclinical hypothyroidism in dyslipidemic MDD patients with the first hospitalization was 39.97%. The course of the disease, age at onset, HAMA score, and low-density lipoprotein cholesterol (LDL-C) were risk factors for subclinical hypothyroidism in dyslipidemic MDD patients. The course of disease, age at onset, HAMA score, HAMD score, FBG, and systolic blood pressure (SBP) levels were observed to influence serum Thyroid Stimulating Hormone (TSH) levels.
MDD patients with dyslipidemia have a high prevalence of subclinical hypothyroidism, and the outcome is associated with anxiety, fasting glucose, and lipids. This study provides a potential biomarker for the identification of co-morbid subclinical hypothyroidism in MDD patients with dyslipidaemia."
9,37920696,2023-11-03,Association of Subclinical Hypothyroidism with Type 2 Diabetes Mellitus in Qatar: A Cross-Sectional Study.,"T2DM"", ""cross-sectional"", ""diabetes"", ""hypothyroidism"", ""subclinical hypothyroidism","The relationship between subclinical hypothyroidism and type 2 diabetes mellitus (T2DM) in Qatar is under-studied, despite the high prevalence of diabetes in the region. This study evaluates the potential association between subclinical hypothyroidism and T2DM in Qatar.
A cross-sectional study used participants with and without T2DM from the Qatar Biobank (QBB). Logistic regression analysis was used to assess the association between subclinical hypothyroidism and T2DM, with multivariable logistic regression used to adjust for potential confounders.
The study found that subclinical hypothyroidism was significantly associated with a 2.82 increase in the odds of having T2DM (OR=2.82, 95% CI (1.13, 7.02), p=0.026) after adjusting for potential confounders. The proportion of subclinical hypothyroidism among individuals with T2DM in Qatar was 4.6%, significantly higher than in those without T2DM (2.8%, p=0.18).
This study demonstrates a significant association between subclinical hypothyroidism and T2DM in Qatar. Further research is required to investigate the directionality of this association and its clinical implications."
10,37913924,2023-11-02,Clinical characteristics and risk factors associated with adverse pregnancy outcomes in patients with gestational hypothyroidism: a case control study.,"clinical features"", ""hypothyroidism of pregnancy"", ""influence factor"", ""pregnancy outcome","To synthesize evidence, to summarize the clinical features of patients diagnosed with gestational hypothyroidism (GH) and analyze the risk factors associated with adverse pregnancy outcomes.
From February 2021 to March 2023, a case control study was conducted on hospitalized 298 patients with GH, and 312 pregnant women without GH who underwent physical examinations. The 312 pregnant women without GH were randomly selected during the same time period. They were respectively allocated into the study group and the control group for further comparison of clinical characteristics and pregnancy outcomes.
There were significant differences in parameters including age, gestational diabetes, gestational hypertension, gravidity, parity, spontaneous abortion, history of gestation, thyroid stimulating hormone (TSH), free triiodothyronine (FT3), Thyroid peroxidase antibody (TPO-Ab), and free thyroxine (FT4) differ significantly between the two groups (P<0.05). Moreover, significant differences were found between the two groups in terms of preterm delivery, preeclampsia, premature rupture of membranes, placental abruption, and postpartum hemorrhage (P<0.05). The multivariate logistic regression analysis revealed that the influencing factors of pregnancy outcome in patients with GH were age (≥ 30 years old), gestational diabetes, gestational hypertension, gravidity (≥ 3 times), spontaneous abortion, parity, history of gestation (multiparity), and TPO-Ab (positive).
Our study indeed revealed that the clinical features of patients with GH were age, gestational diabetes, gestational hypertension, gravidity, parity, spontaneous abortion, history of gestation, TSH, FT3, TPO-Ab, and FT4."
