Article Count,Article ID,Publication Date,Title,Keywords,Abstract
1,37653316,2023-09-01,[The eye in rheumatism].,N/A,Many patients have ocular involvement in the context of rheumatic diseases. Eye manifestation may be the first symptom of rheumatic diseases and could present with high morbidity or disability due to visual impairment. This article presents these ocular involvements.
2,37583864,2023-08-16,Systematic review of fibroblastic rheumatism: A case report.,"Case report"", ""Diagnostic"", ""Fibroblastic rheumatism"", ""Systematic review","Fibroblastic rheumatism (FR) is a rare fibroproliferative disease with an unknown etiology. The absence of typical symptoms makes early diagnosis challenging. This study aims to systematically review FR cases and present a case from our center to provide a comprehensive description of the clinical manifestations, diagnosis, and treatment, thereby assisting clinicians in early identification and timely management of FR, ultimately leading to improved prognosis.
FR is a rare fibroproliferative disease with an unknown etiology. It is characterized by rapidly progressive and destructive symmetrical inflammatory multiple arthritis. Here, we present a rare case of a 50-year-old female with symmetric inflammatory polyarthritis. We highlight the importance of a comprehensive medical history, histopathology, immunohistochemistry, and clinical manifestations of skin nodules, arthralgia, and arthritis for successful disease diagnosis. Despite employing non-steroidal anti-inflammatory drugs, corticosteroids, methotrexate, and tacrolimus, the patient's symptoms did not resolve, and joint destruction continued to progress. Early diagnosis, aggressive treatment with appropriate use of steroids and immunosuppressants, and further research to identify effective treatment strategies are crucial in preventing detrimental joint destruction and limb contractures.
A comprehensive review of the available literature emphasizes the importance of early and accurate diagnosis coupled with appropriate treatment for achieving favorable outcomes and preventing joint destruction and limb contractures."
3,37439522,2023-07-13,Effects of iguratimod in the treatment of palindromic rheumatism: Case report.,N/A,"Palindromic rheumatism (PR) is characterized by interstitial inflammation, redness, and pain in joints and periarticular tissues. However, the pathogenesis and treatment of PR remain unknown. Herein, we report on the first use of iguratimod (IGU) - a novel small-molecule compound with anti-inflammatory effects - in the treatment of refractory PR.
A male patient aged 70 years was diagnosed with PR based on medical history, clinical manifestations, and ultrasound findings. The patient was treated with IGU (25 mg PO q.d.). The disease activity was measured by the frequency of PR flares and clinical symptoms. The patient's laboratory tests were monitored for safety reasons.
The use of IGU significantly improved pain symptoms and reduced flare frequency. After 28 days of treatment, abnormal levels of glutamic-pyruvic transaminase were observed. One month after discontinuation of IGU, flares occurred in the patient's second toe of both feet.
IGU provides a new treatment option for patients with refractory PR who cannot use hydroxychloroquine. The effective treatment with IGU suggests the potential pathogenesis of PR and provides a basis for physicians to choose a new drug for PR treatment."
4,37382250,2023-06-29,Iguratimod efficacy in palindromic rheumatism treatment.,"clinical symptoms"", ""disease control"", ""flare frequency"", ""iguratimod"", ""palindromic rheumatism"", ""significant efficacy","As a new immunomodulator for rheumatoid arthritis, iguratimod (IGU) also has therapeutic potential in other immune diseases. In this study, we determined the effects of IGU on disease control in patients with palindromic rheumatism (PR).
Patients with PR were divided into Control group (Ctrl group) and an IGU treatment (IGU group) groups. Drug efficacy was evaluated according to the frequency of PR attacks (monthly), the visual analog scale (VAS) score of patient pain, and clinical symptoms.
The drug positivity and disease control rates of the IGU group (100.00% and 90.91%, respectively) were significantly higher than those of the Ctrl group (61.11% and 5.56%; p = .002 and p < .001, respectively). The median number of PR flares and the VAS score of patients in the Ctrl group decreased from 3.00 (1.00-15.00) to 0.83 (0.00-12.00) and from 5 (4-6) to 4 (1-6), respectively. In the IGU group, the median number of PR attacks decreased from 4.50 (2.00-15.00) to 0.00 (0.00-0.33), and the VAS score decreased from 5 (4-6) to 0 (0-2). The IGU group exhibited a significant reduction in PR flare frequency and improvement in the VAS value (p < .001 and p < .001, respectively).
Our study is the first to describe the efficacy of IGU in PR treatment. IGU can significantly reduce the number of PR flares and improve the clinical symptoms of patients with PR."
5,37349205,2023-06-23,Histamine elevation in familial Mediterranean fever: A study from the Juvenile Inflammatory Rheumatism cohort.,"Basophils"", ""Familial Mediterranean fever"", ""Histamine, Mast cells"", ""Mast cell activation","Familial Mediterranean Fever (FMF) is the most frequent monogenic autoinflammatory disease (AID). Some patients have persistent symptoms despite colchicine intake. Mast cells (MC) are innate immune cells involved in inflammatory conditions including AID. Their activation is responsible for various symptoms such as abdominal pain, bloating and pruritus.
Our objective was to evaluate features of a systemic MC activation in FMF adult patients.
FMF adult patients prospectively filled a MC activation survey and usual MC mediators (tryptase and histamine in whole blood, plasma and urine) were measured. They were compared with a healthy control group (HC) and a systemic mastocytosis (SM) group. When digestive biopsies were realized during follow-up, MC infiltration in digestive mucosa was analyzed in FMF, in comparison with SM, Crohn disease (CD) and normal biopsies.
Forty-four FMF patients, 44 HC and 44 SM patients were included. Thirty-one (70%) FMF patients had symptoms of mast cell activation, versus 14 (32%) in the HC group (p = 0.0006). Thirty (68%) FMF patients had at least one elevated MC mediator: mainly whole blood histamine, in 19 (43%) and urinary histamine, in 14 (32%), which were significantly higher than in HC subjects. MC infiltration was comparable in FMF digestive biopsies, biopsies of CD and normal biopsies but was lower than in SM biopsies.
FMF patients show frequent symptoms of MC activation and an increase of blood or urinary histamine never described before in this disease. This suggests an implication of MC and possibly basophils in FMF pathophysiology."
6,37292378,2023-06-09,Multisystem inflammatory syndrome in children during the COVID-19 waves: data from the Juvenile Inflammatory Rheumatism cohort.,"COVID-19"", ""epidemiology"", ""multisystem inflammatory syndrome in children"", ""myocarditis"", ""waves of COVID-19","Multisystem inflammatory syndrome in children (MIS-C) is a new condition that first appeared in children and adolescents during the COVID-19 pandemic. We aimed to describe the diagnostic course, clinical and biological manifestations, and treatment of MIS-C during the first three COVID-19 waves.
We extracted patient data from the Juvenile Inflammatory Rheumatism (JIR) cohort. We analyzed data for patients meeting the World Health Organization diagnostic criteria for MIS-C from the start of the COVID-19 pandemic from March 2020 to June 30, 2021. We then compared data for patients in wave one to those in waves two and three.
We identified 136 patients with MIS-C. The median age decreased but not significantly during the waves, from 9.9 years to 7.3 years (
Over the three COVID-19 waves, with a change in the management of MIS-C, children in the JIR cohort in France showed a less severe disease course, in particular, a greater use of corticosteroids. This observation may reflect the impact of both improved management and different SARS-CoV-2 variant."
7,37235112,2023-05-26,Association of pain and clinical factors on disability and quality of life in systemic sclerosis: A cross-sectional study from Turkish League Against Rheumatism Network.,"Disability"", ""pain"", ""quality of life"", ""systemic sclerosis.","In this study, we aimed to evaluate the factors associated with disability and quality of life (QoL) in Turkish patients with systemic sclerosis (SSc).
Between January 2018 and January 2019, a total of 256 SSc patients (20 males, 236 females; mean age: 50.9±12.4 years; range, 19 to 87 years) who were diagnosed with SSc were included in the study. Disability and health-related QoL (HRQoL) were evaluated by the Health Assessment Questionnaire (HAQ), scleroderma HAQ (SHAQ), Duruöz Hand Index (DHI), and Short Form-36 (SF-36). Linear regression analysis methods were used to describe factors associated with disability and QoL of the patients.
All disability scores were higher and HRQoL scores were lower in diffuse cutaneous SSc patients compared limited cutaneous SSc, and differentiations were significant (p=0.001 and p=0.007). In multiple regression, pain (VAS) was the strongest predictor for high disability and low QoL scores (p<0.001) as HAQ (β=0.397, 0.386, 0.452), SHAQ (β=0.397, 0.448, 0.372), DHI (β=0.446, 0.536, 0.389), PCS (β=-0.417,-0.499, -0.408) and MCS (β=-0.478, -0.441, -0.370) in combined, lcSSc and dcSSc patients respectively. The factors associated with high disability and low QoL scores were forced vital capacity for HAQ (β=-0.172, p=0.002) and SF-36 PCS (β=0.187, p=0.001); disease duration for HAQ (β=0.208, p<0.001), DHI (β=0.147, p=0.006), and SF-36 PCS (β=-0.134, p=0.014); 6-minute walk test for HAQ (β=-0.161, p=0.005) and SF-36 PCS (β=0.153, p=0.009); and modified Rodnan skin score for SHAQ (β=0.250, p<0.001) and DHI (β=0.233, p<0.001) in SSc patients. Diffusing capacity of the lungs for carbon monoxide for HAQ (β=-0.189, p=0.010) and SHAQ (β=-0.247, p=0.002); erythrocyte sedimentation rate for DHI (β=0.322, p<0.001); age for SF-36 PCS (β=-0.221, p=0.003) and body mass index for SF-36 PCS (β=-0.200, p=0.008) and MCS (β=-0.175, p=0.034) were the other variables associated with high disability or low QoL scores in SSc subsets.
Clinicians should consider the management of the pain and its sources as a key to improve better functional state and quality of daily life in SSc."
8,37219934,2023-05-23,Identification of Distinct Genetic Profiles of Palindromic Rheumatism Using Whole-Exome Sequencing.,N/A,"Previous studies have underlined the genetic susceptibility in the pathogenesis of palindromic rheumatism (PR), but the known PR loci only partially explain the disease's genetic background. We aimed to genetically identify PR by whole-exome sequencing (WES).
This multicenter prospective study was conducted in 10 Chinese specialized rheumatology centers between September 2015 and January 2020. WES was performed in 185 patients with PR and in 272 healthy controls. PR patients were divided into PR subgroups who were negative for anti-citrullinated protein antibody (ACPA-) and positive for ACPA (ACPA+) according to ACPA titer (cutoff value 20 IU/liter). We conducted whole-exome association analysis for the WES data. We used HLA imputation to type HLA genes. In addition, we used the polygenic risk score to measure the genetic correlations between PR and rheumatoid arthritis (RA) and the genetic correlations between ACPA- PR and ACPA+ PR.
Among 185 patients with PR enrolled in our study, 50 patients (27.02%) were ACPA+ and 135 PR patients (72.98%) were ACPA-. We identified 8 novel loci (in the ACPA- PR group: ZNF503, RPS6KL1, HOMER3, HLA-DRA; in the ACPA+ PR group: RPS6KL1, TNPO2, WASH2P, FANK1) and 3 HLA alleles (in the ACPA- PR group: HLA-DRB1*0803 and HLA-DQB1; in the ACPA+ PR group: HLA-DPA1*0401) that were associated with PR and that surpassed genome-wide significance (P < 5 × 10
This study demonstrated the distinct genetic background between ACPA- and ACPA+ PR patients. Additionally, our findings strengthened that PR and RA were not genetically similar."
9,37204153,2023-05-19,Vitamin D Status in Palindromic Rheumatism: A Propensity Score Matching Analysis.,"ELISA"", ""autoimmunity"", ""palindromic rheumatism"", ""prerheumatoid arthritis"", ""propensity-score matching"", ""vitamin D","To determine whether there is a correlation between vitamin D levels and palindromic rheumatism (PR) as an at-risk phenotype of rheumatoid arthritis (RA).
A total of 308 participants were enrolled in this cross-sectional study. We recorded their clinical characteristics and performed propensity-score matching (PSM). Serum 25(OH)D3 levels were determined via enzyme-linked immunosorbent assay.
Our PSM resulted in 48 patients with PR and 96 matched control individuals. The multivariate regression analysis we performed after the PSM did not show a significant increase in PR risk in patients with vitamin D deficiency/insufficiency. There was no significant correlation between levels of 25(OH)D3 and frequency/duration of attacks, number of joints affected, and duration of symptoms before diagnosis (P ≥ .05). Mean (SD) serum levels of 25(OH)D3 in patients with and without progression to RA were 28.7 (15.9) ng/mL and 25.1 (11.4) ng/mL, respectively.
Based on the results, we found no clear association between vitamin D serum levels and the risk, severity, and rate of PR progressing into RA."
10,37192377,2023-05-16,Refining Incidence and Characteristics of Inflammatory Myopathies: A Quadruple-Source Capture-Recapture Survey Using the 2017 European League Against Rheumatism/American College of Rheumatology Classification Criteria.,N/A,"Inflammatory myopathies (IM), characterized by muscle inflammation and weakness, are rare systemic diseases. Our previous study estimated an IM incidence rate of 7.98 cases per million people per year (95% confidence interval 7.38-8.66) and highlighted important variations that were likely because of methodologic issues rather than true epidemiologic differences. In this study, we aimed to refine the incidence of IM, using the 2017 European League Against Rheumatism (EULAR)/American College of Rheumatology (ACR) classification criteria for IM and a quadruple-source capture-recapture method during a 6-year period in Alsace, France, a region with a population of 2 million having benefits of good access to health care and accredited IM referral centers.
Clinical data of potential IM patients were obtained from 4 sources (general practitioners and community specialists, public and private hospital records, public and private laboratories, and archives from the pathology department). Patients residing in Alsace and who fulfilled the 2017 EULAR/ACR criteria for IM between January 1, 2006, and January 1, 2013, were included. We corrected potentially incomplete ascertainment of cases with capture-recapture analyses. We studied both spatial and temporal distributions of incidence of IM. We also assessed systemic manifestations of the disease.
Our review of 1,742 potential cases identified 106 patients with IM. No spatial or temporal heterogeneity was observed. Use of log-linear models showed an estimated 14.9 additional missed cases. Thus, the incidence rate of IM was 8.22 new cases per million inhabitants per year (95% confidence interval 6.76-9.69). Extramuscular manifestations other than dermatomyositis rash were frequently recorded.
The stringent methodology used in our study provides an accurate estimation of the incidence of IM. This study also demonstrates, in a population-based cohort, the systemic nature of IM."
